=== Minecraft Coder Pack 2.9 === 
*** Compiling Minecraft 
[search path for class files: C:\Program Files (x86)\Java\jdk1.6.0_21\jre\lib\resources.jar,C:\Program Files (x86)\Java\jdk1.6.0_21\jre\lib\rt.jar,C:\Program Files (x86)\Java\jdk1.6.0_21\jre\lib\sunrsasign.jar,C:\Program Files (x86)\Java\jdk1.6.0_21\jre\lib\jsse.jar,C:\Program Files (x86)\Java\jdk1.6.0_21\jre\lib\jce.jar,C:\Program Files (x86)\Java\jdk1.6.0_21\jre\lib\charsets.jar,C:\Program Files (x86)\Java\jdk1.6.0_21\jre\classes,C:\Program Files (x86)\Java\jdk1.6.0_21\jre\lib\ext\dnsns.jar,C:\Program Files (x86)\Java\jdk1.6.0_21\jre\lib\ext\localedata.jar,C:\Program Files (x86)\Java\jdk1.6.0_21\jre\lib\ext\sunjce_provider.jar,C:\Program Files (x86)\Java\jdk1.6.0_21\jre\lib\ext\sunmscapi.jar,C:\Program Files (x86)\Java\jdk1.6.0_21\jre\lib\ext\sunpkcs11.jar,C:\Users\Erik\Desktop\zombie-craft\jars\bin\minecraft.jar,C:\Users\Erik\Desktop\zombie-craft\jars\bin\jinput.jar,C:\Users\Erik\Desktop\zombie-craft\jars\bin\lwjgl.jar,C:\Users\Erik\Desktop\zombie-craft\jars\bin\lwjgl_util.jar]
[loading java\lang\reflect\Constructor.class(java\lang\reflect:Constructor.class)]
[loading java\lang\reflect\Method.class(java\lang\reflect:Method.class)]
[loading java\nio\ByteBuffer.class(java\nio:ByteBuffer.class)]
[loading org\lwjgl\BufferUtils.class(org\lwjgl:BufferUtils.class)]
[loading org\lwjgl\LWJGLException.class(org\lwjgl:LWJGLException.class)]
[loading org\lwjgl\opengl\DisplayMode.class(org\lwjgl\opengl:DisplayMode.class)]
[loading org\lwjgl\util\glu\GLU.class(org\lwjgl\util\glu:GLU.class)]
[loading java\lang\Runnable.class(java\lang:Runnable.class)]
[loading java\lang\Object.class(java\lang:Object.class)]
[loading java\awt\Component.class(java\awt:Component.class)]
[loading java\awt\Canvas.class(java\awt:Canvas.class)]
[loading java\applet\Applet.class(java\applet:Applet.class)]
[loading java\awt\BorderLayout.class(java\awt:BorderLayout.class)]
[loading java\io\PrintStream.class(java\io:PrintStream.class)]
[loading java\net\URL.class(java\net:URL.class)]
[loading java\awt\Panel.class(java\awt:Panel.class)]
[loading javax\accessibility\Accessible.class(javax\accessibility:Accessible.class)]
[loading java\awt\Container.class(java\awt:Container.class)]
[loading java\awt\image\ImageObserver.class(java\awt\image:ImageObserver.class)]
[loading java\awt\MenuContainer.class(java\awt:MenuContainer.class)]
[loading java\io\Serializable.class(java\io:Serializable.class)]
[loading java\lang\String.class(java\lang:String.class)]
[loading java\io\File.class(java\io:File.class)]
[loading java\lang\Enum.class(java\lang:Enum.class)]
[loading java\lang\Comparable.class(java\lang:Comparable.class)]
[loading java\util\List.class(java\util:List.class)]
[loading java\awt\Toolkit.class(java\awt:Toolkit.class)]
[loading java\awt\datatransfer\Clipboard.class(java\awt\datatransfer:Clipboard.class)]
[loading java\awt\datatransfer\DataFlavor.class(java\awt\datatransfer:DataFlavor.class)]
[loading java\awt\datatransfer\Transferable.class(java\awt\datatransfer:Transferable.class)]
[loading java\util\ArrayList.class(java\util:ArrayList.class)]
[loading org\lwjgl\input\Keyboard.class(org\lwjgl\input:Keyboard.class)]
[loading org\lwjgl\input\Mouse.class(org\lwjgl\input:Mouse.class)]
[loading org\lwjgl\opengl\GL11.class(org\lwjgl\opengl:GL11.class)]
[loading java\util\Random.class(java\util:Random.class)]
[loading org\lwjgl\opengl\ContextCapabilities.class(org\lwjgl\opengl:ContextCapabilities.class)]
[loading org\lwjgl\opengl\GLContext.class(org\lwjgl\opengl:GLContext.class)]
[loading java\nio\IntBuffer.class(java\nio:IntBuffer.class)]
[loading org\lwjgl\opengl\ARBOcclusionQuery.class(org\lwjgl\opengl:ARBOcclusionQuery.class)]
[loading java\awt\Graphics.class(java\awt:Graphics.class)]
[loading java\awt\image\BufferedImage.class(java\awt\image:BufferedImage.class)]
[loading java\io\IOException.class(java\io:IOException.class)]
[loading java\io\InputStream.class(java\io:InputStream.class)]
[loading java\nio\Buffer.class(java\nio:Buffer.class)]
[loading java\util\Collection.class(java\util:Collection.class)]
[loading java\util\HashMap.class(java\util:HashMap.class)]
[loading java\util\Iterator.class(java\util:Iterator.class)]
[loading java\util\Map.class(java\util:Map.class)]
[loading java\util\Set.class(java\util:Set.class)]
[loading javax\imageio\ImageIO.class(javax\imageio:ImageIO.class)]
[loading org\lwjgl\opengl\Display.class(org\lwjgl\opengl:Display.class)]
[loading java\nio\FloatBuffer.class(java\nio:FloatBuffer.class)]
[loading javax\xml\parsers\DocumentBuilder.class(javax\xml\parsers:DocumentBuilder.class)]
[loading javax\xml\parsers\DocumentBuilderFactory.class(javax\xml\parsers:DocumentBuilderFactory.class)]
[loading java\lang\Thread.class(java\lang:Thread.class)]
[loading java\awt\Color.class(java\awt:Color.class)]
[loading paulscode\sound\SoundSystem.class(paulscode\sound:SoundSystem.class)]
[loading paulscode\sound\SoundSystemConfig.class(paulscode\sound:SoundSystemConfig.class)]
[loading paulscode\sound\codecs\CodecJOrbis.class(paulscode\sound\codecs:CodecJOrbis.class)]
[loading paulscode\sound\codecs\CodecWav.class(paulscode\sound\codecs:CodecWav.class)]
[loading paulscode\sound\libraries\LibraryLWJGLOpenAL.class(paulscode\sound\libraries:LibraryLWJGLOpenAL.class)]
[loading org\lwjgl\input\Cursor.class(org\lwjgl\input:Cursor.class)]
[loading java\lang\Throwable.class(java\lang:Throwable.class)]
[loading java\lang\Class.class(java\lang:Class.class)]
[loading java\util\TreeSet.class(java\util:TreeSet.class)]
[loading java\net\UnknownHostException.class(java\net:UnknownHostException.class)]
[loading java\util\zip\DataFormatException.class(java\util\zip:DataFormatException.class)]
[loading java\util\zip\Inflater.class(java\util\zip:Inflater.class)]
[loading java\net\Socket.class(java\net:Socket.class)]
[loading java\net\SocketAddress.class(java\net:SocketAddress.class)]
[loading java\net\MalformedURLException.class(java\net:MalformedURLException.class)]
[loading java\net\URI.class(java\net:URI.class)]
[loading java\io\DataOutput.class(java\io:DataOutput.class)]
[loading java\io\DataInput.class(java\io:DataInput.class)]
[loading java\io\DataOutputStream.class(java\io:DataOutputStream.class)]
[loading java\io\DataInputStream.class(java\io:DataInputStream.class)]
[loading java\lang\Exception.class(java\lang:Exception.class)]
[loading java\util\LinkedList.class(java\util:LinkedList.class)]
[loading java\awt\Dimension.class(java\awt:Dimension.class)]
[loading java\awt\FontMetrics.class(java\awt:FontMetrics.class)]
[loading java\awt\Graphics2D.class(java\awt:Graphics2D.class)]
[loading java\awt\Rectangle.class(java\awt:Rectangle.class)]
[loading java\awt\RenderingHints.class(java\awt:RenderingHints.class)]
[loading java\awt\event\KeyEvent.class(java\awt\event:KeyEvent.class)]
[loading java\awt\event\KeyListener.class(java\awt\event:KeyListener.class)]
[loading java\awt\event\MouseEvent.class(java\awt\event:MouseEvent.class)]
[loading java\awt\event\MouseListener.class(java\awt\event:MouseListener.class)]
[loading java\awt\event\MouseMotionListener.class(java\awt\event:MouseMotionListener.class)]
[loading java\awt\image\BufferStrategy.class(java\awt\image:BufferStrategy.class)]
[loading java\util\Collections.class(java\util:Collections.class)]
[loading java\util\EventListener.class(java\util:EventListener.class)]
[loading java\io\FilenameFilter.class(java\io:FilenameFilter.class)]
[loading java\util\regex\Matcher.class(java\util\regex:Matcher.class)]
[loading java\util\regex\Pattern.class(java\util\regex:Pattern.class)]
[loading java\io\FileFilter.class(java\io:FileFilter.class)]
[loading java\net\URLConnection.class(java\net:URLConnection.class)]
[loading paulscode\sound\ICodec.class(paulscode\sound:ICodec.class)]
[loading java\util\zip\GZIPInputStream.class(java\util\zip:GZIPInputStream.class)]
[loading java\util\zip\GZIPOutputStream.class(java\util\zip:GZIPOutputStream.class)]
[loading java\io\OutputStream.class(java\io:OutputStream.class)]
[loading java\util\Comparator.class(java\util:Comparator.class)]
[loading java\io\BufferedReader.class(java\io:BufferedReader.class)]
[loading java\io\InputStreamReader.class(java\io:InputStreamReader.class)]
[loading java\awt\event\WindowAdapter.class(java\awt\event:WindowAdapter.class)]
[loading java\awt\event\WindowEvent.class(java\awt\event:WindowEvent.class)]
[loading java\awt\event\WindowListener.class(java\awt\event:WindowListener.class)]
[loading java\awt\event\WindowStateListener.class(java\awt\event:WindowStateListener.class)]
[loading java\awt\event\WindowFocusListener.class(java\awt\event:WindowFocusListener.class)]
[loading java\awt\datatransfer\ClipboardOwner.class(java\awt\datatransfer:ClipboardOwner.class)]
[loading java\awt\datatransfer\StringSelection.class(java\awt\datatransfer:StringSelection.class)]
[loading java\awt\datatransfer\UnsupportedFlavorException.class(java\awt\datatransfer:UnsupportedFlavorException.class)]
[loading java\nio\charset\Charset.class(java\nio\charset:Charset.class)]
[loading java\text\DateFormat.class(java\text:DateFormat.class)]
[loading java\text\SimpleDateFormat.class(java\text:SimpleDateFormat.class)]
[loading java\util\Date.class(java\util:Date.class)]
[loading org\lwjgl\Sys.class(org\lwjgl:Sys.class)]
[loading java\lang\Error.class(java\lang:Error.class)]
[loading java\lang\RuntimeException.class(java\lang:RuntimeException.class)]
[loading java\awt\Frame.class(java\awt:Frame.class)]
[loading java\io\FileInputStream.class(java\io:FileInputStream.class)]
[loading java\lang\reflect\Field.class(java\lang\reflect:Field.class)]
[loading java\util\Properties.class(java\util:Properties.class)]
[loading java\lang\IllegalAccessException.class(java\lang:IllegalAccessException.class)]
[loading java\lang\Integer.class(java\lang:Integer.class)]
[loading java\lang\Float.class(java\lang:Float.class)]
[loading java\io\FileNotFoundException.class(java\io:FileNotFoundException.class)]
[loading java\lang\reflect\InvocationTargetException.class(java\lang\reflect:InvocationTargetException.class)]
[loading java\security\CodeSource.class(java\security:CodeSource.class)]
[loading java\security\ProtectionDomain.class(java\security:ProtectionDomain.class)]
[loading java\util\Arrays.class(java\util:Arrays.class)]
[loading java\util\logging\FileHandler.class(java\util\logging:FileHandler.class)]
[loading java\util\logging\Level.class(java\util\logging:Level.class)]
[loading java\util\logging\Logger.class(java\util\logging:Logger.class)]
[loading java\util\logging\SimpleFormatter.class(java\util\logging:SimpleFormatter.class)]
[loading java\util\zip\ZipEntry.class(java\util\zip:ZipEntry.class)]
[loading java\util\zip\ZipInputStream.class(java\util\zip:ZipInputStream.class)]
[loading java\lang\ClassLoader.class(java\lang:ClassLoader.class)]
[loading java\lang\IllegalArgumentException.class(java\lang:IllegalArgumentException.class)]
[loading java\lang\SecurityException.class(java\lang:SecurityException.class)]
[loading java\lang\NoSuchFieldException.class(java\lang:NoSuchFieldException.class)]
[loading java\io\Closeable.class(java\io:Closeable.class)]
[loading java\io\PrintWriter.class(java\io:PrintWriter.class)]
[loading java\io\StringWriter.class(java\io:StringWriter.class)]
[loading java\io\RandomAccessFile.class(java\io:RandomAccessFile.class)]
[loading java\lang\ref\Reference.class(java\lang\ref:Reference.class)]
[loading java\lang\ref\SoftReference.class(java\lang\ref:SoftReference.class)]
[loading java\io\ByteArrayOutputStream.class(java\io:ByteArrayOutputStream.class)]
[loading java\io\Flushable.class(java\io:Flushable.class)]
[loading java\util\zip\ZipFile.class(java\util\zip:ZipFile.class)]
[loading java\net\ConnectException.class(java\net:ConnectException.class)]
[loading java\net\HttpURLConnection.class(java\net:HttpURLConnection.class)]
[loading java\lang\Override.class(java\lang:Override.class)]
[loading java\lang\annotation\Annotation.class(java\lang\annotation:Annotation.class)]
[loading java\lang\annotation\Target.class(java\lang\annotation:Target.class)]
[loading java\lang\annotation\ElementType.class(java\lang\annotation:ElementType.class)]
[loading java\lang\annotation\Retention.class(java\lang\annotation:Retention.class)]
[loading java\lang\annotation\RetentionPolicy.class(java\lang\annotation:RetentionPolicy.class)]
[checking net.minecraft.client.Minecraft]
[loading java\lang\System.class(java\lang:System.class)]
[loading java\lang\ThreadGroup.class(java\lang:ThreadGroup.class)]
[loading java\lang\InterruptedException.class(java\lang:InterruptedException.class)]
[loading org\lwjgl\input\Controllers.class(org\lwjgl\input:Controllers.class)]
[loading java\lang\StringBuilder.class(java\lang:StringBuilder.class)]
[loading java\lang\AbstractStringBuilder.class(java\lang:AbstractStringBuilder.class)]
[loading java\lang\CharSequence.class(java\lang:CharSequence.class)]
[loading java\lang\StringBuffer.class(java\lang:StringBuffer.class)]
[loading java\io\FilterOutputStream.class(java\io:FilterOutputStream.class)]
[loading java\nio\ShortBuffer.class(java\nio:ShortBuffer.class)]
[loading java\nio\DoubleBuffer.class(java\nio:DoubleBuffer.class)]
[loading java\lang\reflect\AccessibleObject.class(java\lang\reflect:AccessibleObject.class)]
[loading java\lang\Boolean.class(java\lang:Boolean.class)]
[loading java\lang\Byte.class(java\lang:Byte.class)]
[loading java\lang\Character.class(java\lang:Character.class)]
[loading java\lang\Short.class(java\lang:Short.class)]
[loading java\lang\Long.class(java\lang:Long.class)]
[loading java\lang\Double.class(java\lang:Double.class)]
[loading java\lang\Number.class(java\lang:Number.class)]
[loading java\awt\GraphicsConfiguration.class(java\awt:GraphicsConfiguration.class)]
[loading java\awt\Window.class(java\awt:Window.class)]
[loading java\awt\LayoutManager.class(java\awt:LayoutManager.class)]
[loading java\awt\LayoutManager2.class(java\awt:LayoutManager2.class)]
[loading java\awt\PopupMenu.class(java\awt:PopupMenu.class)]
[loading java\awt\geom\Dimension2D.class(java\awt\geom:Dimension2D.class)]
[loading java\lang\ClassNotFoundException.class(java\lang:ClassNotFoundException.class)]
[loading java\lang\NoSuchMethodException.class(java\lang:NoSuchMethodException.class)]
[loading java\awt\HeadlessException.class(java\awt:HeadlessException.class)]
[loading java\lang\UnsupportedOperationException.class(java\lang:UnsupportedOperationException.class)]
[loading java\lang\NumberFormatException.class(java\lang:NumberFormatException.class)]
[loading java\lang\Void.class(java\lang:Void.class)]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\client\Minecraft.class]
[checking net.minecraft.client.MinecraftApplet]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\client\MinecraftApplet.class]
[checking net.minecraft.src.UnexpectedThrowable]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\UnexpectedThrowable.class]
[checking net.minecraft.src.EnumOS2]
[loading java\lang\CloneNotSupportedException.class(java\lang:CloneNotSupportedException.class)]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\EnumOS2.class]
[checking net.minecraft.src.ISaveFormat]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\ISaveFormat.class]
[checking net.minecraft.src.GuiScreen]
[loading java\util\AbstractList.class(java\util:AbstractList.class)]
[loading java\util\AbstractCollection.class(java\util:AbstractCollection.class)]
[loading java\lang\Iterable.class(java\lang:Iterable.class)]
[checking net.minecraft.src.Gui]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Gui.class]
[checking net.minecraft.src.World]
[loading java\util\AbstractSet.class(java\util:AbstractSet.class)]
[loading java\util\HashSet.class(java\util:HashSet.class)]
[loading java\lang\IllegalStateException.class(java\lang:IllegalStateException.class)]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\World.class]
[checking net.minecraft.src.IBlockAccess]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\IBlockAccess.class]
[checking net.minecraft.src.EntityPlayer]
[loading java\lang\Math.class(java\lang:Math.class)]
[checking net.minecraft.src.EntityLiving]
[checking net.minecraft.src.Entity]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Entity.class]
[checking net.minecraft.src.OpenGlCapsChecker]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\OpenGlCapsChecker.class]
[checking net.minecraft.src.NetClientHandler]
[loading java\net\InetAddress.class(java\net:InetAddress.class)]
[loading java\net\SocketImpl.class(java\net:SocketImpl.class)]
[loading java\net\Proxy.class(java\net:Proxy.class)]
[loading java\io\Reader.class(java\io:Reader.class)]
[checking net.minecraft.src.NetHandler]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\NetHandler.class]
[checking net.minecraft.src.PlayerController]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\PlayerController.class]
[checking net.minecraft.src.Timer]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Timer.class]
[checking net.minecraft.src.RenderGlobal]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\RenderGlobal.class]
[checking net.minecraft.src.IWorldAccess]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\IWorldAccess.class]
[checking net.minecraft.src.EntityPlayerSP]
[checking net.minecraft.src.EffectRenderer]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\EffectRenderer.class]
[checking net.minecraft.src.Session]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Session.class]
[checking net.minecraft.src.RenderEngine]
[loading java\util\AbstractMap.class(java\util:AbstractMap.class)]
[loading java\awt\Image.class(java\awt:Image.class)]
[loading java\awt\image\ColorModel.class(java\awt\image:ColorModel.class)]
[loading javax\imageio\stream\ImageInputStream.class(javax\imageio\stream:ImageInputStream.class)]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\RenderEngine.class]
[checking net.minecraft.src.FontRenderer]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\FontRenderer.class]
[checking net.minecraft.src.LoadingScreenRenderer]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\LoadingScreenRenderer.class]
[checking net.minecraft.src.IProgressUpdate]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\IProgressUpdate.class]
[checking net.minecraft.src.EntityRenderer]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\EntityRenderer.class]
[checking net.minecraft.src.ThreadDownloadResources]
[loading org\w3c\dom\Document.class(org\w3c\dom:Document.class)]
[loading org\xml\sax\InputSource.class(org\xml\sax:InputSource.class)]
[loading org\w3c\dom\NodeList.class(org\w3c\dom:NodeList.class)]
[loading org\w3c\dom\Node.class(org\w3c\dom:Node.class)]
[loading org\w3c\dom\Element.class(org\w3c\dom:Element.class)]
[loading java\io\FilterInputStream.class(java\io:FilterInputStream.class)]
[loading java\io\FileOutputStream.class(java\io:FileOutputStream.class)]
[loading java\io\FileDescriptor.class(java\io:FileDescriptor.class)]
[loading javax\xml\parsers\ParserConfigurationException.class(javax\xml\parsers:ParserConfigurationException.class)]
[loading org\xml\sax\SAXException.class(org\xml\sax:SAXException.class)]
[loading org\w3c\dom\DOMException.class(org\w3c\dom:DOMException.class)]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\ThreadDownloadResources.class]
[checking net.minecraft.src.GuiIngame]
[loading java\lang\Runtime.class(java\lang:Runtime.class)]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\GuiIngame.class]
[checking net.minecraft.src.ModelBiped]
[checking net.minecraft.src.ModelBase]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\ModelBase.class]
[checking net.minecraft.src.MovingObjectPosition]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\MovingObjectPosition.class]
[checking net.minecraft.src.GameSettings]
[loading java\io\FileReader.class(java\io:FileReader.class)]
[loading java\io\FileWriter.class(java\io:FileWriter.class)]
[loading java\io\OutputStreamWriter.class(java\io:OutputStreamWriter.class)]
[loading java\io\Writer.class(java\io:Writer.class)]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\GameSettings.class]
[checking net.minecraft.src.SoundManager]
[loading paulscode\sound\codecs\CodecIBXM.class(paulscode\sound\codecs:CodecIBXM.class)]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\SoundManager.class]
[checking net.minecraft.src.MouseHelper]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\MouseHelper.class]
[checking net.minecraft.src.TexturePackList]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\TexturePackList.class]
[checking net.minecraft.src.TextureWaterFX]
[checking net.minecraft.src.TextureFX]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\TextureFX.class]
[checking net.minecraft.src.TextureLavaFX]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\TextureLavaFX.class]
[checking net.minecraft.src.ISaveHandler]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\ISaveHandler.class]
[checking net.minecraft.src.WorldInfo]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\WorldInfo.class]
[checking net.minecraft.src.GuiButton]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\GuiButton.class]
[checking net.minecraft.src.WorldChunkManager]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\WorldChunkManager.class]
[checking net.minecraft.src.WorldProvider]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\WorldProvider.class]
[checking net.minecraft.src.IChunkProvider]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\IChunkProvider.class]
[checking net.minecraft.src.Chunk]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Chunk.class]
[checking net.minecraft.src.Material]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Material.class]
[checking net.minecraft.src.EnumSkyBlock]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\EnumSkyBlock.class]
[checking net.minecraft.src.Vec3D]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Vec3D.class]
[checking net.minecraft.src.AxisAlignedBB]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\AxisAlignedBB.class]
[checking net.minecraft.src.Explosion]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Explosion.class]
[checking net.minecraft.src.TileEntity]
[loading java\lang\reflect\GenericDeclaration.class(java\lang\reflect:GenericDeclaration.class)]
[loading java\lang\reflect\Type.class(java\lang\reflect:Type.class)]
[loading java\lang\reflect\AnnotatedElement.class(java\lang\reflect:AnnotatedElement.class)]
[loading java\lang\NoClassDefFoundError.class(java\lang:NoClassDefFoundError.class)]
[loading java\lang\LinkageError.class(java\lang:LinkageError.class)]
[loading java\lang\InstantiationException.class(java\lang:InstantiationException.class)]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\TileEntity.class]
[checking net.minecraft.src.PathEntity]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\PathEntity.class]
[checking net.minecraft.src.ChunkCoordinates]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\ChunkCoordinates.class]
[checking net.minecraft.src.Item]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Item.class]
[checking net.minecraft.src.Block]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Block.class]
[checking net.minecraft.src.ItemStack]
[loading java\lang\NullPointerException.class(java\lang:NullPointerException.class)]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\ItemStack.class]
[checking net.minecraft.src.EntityItem]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\EntityItem.class]
[checking net.minecraft.src.NBTTagCompound]
[checking net.minecraft.src.NBTBase]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\NBTBase.class]
[checking net.minecraft.src.IInventory]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\IInventory.class]
[checking net.minecraft.src.TileEntityFurnace]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\TileEntityFurnace.class]
[checking net.minecraft.src.TileEntityDispenser]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\TileEntityDispenser.class]
[checking net.minecraft.src.TileEntitySign]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\TileEntitySign.class]
[checking net.minecraft.src.InventoryPlayer]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\InventoryPlayer.class]
[checking net.minecraft.src.CraftingInventoryCB]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\CraftingInventoryCB.class]
[checking net.minecraft.src.EntityFish]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\EntityFish.class]
[checking net.minecraft.src.DataWatcher]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\DataWatcher.class]
[checking net.minecraft.src.NBTTagList]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\NBTTagList.class]
[checking net.minecraft.src.Packet1Login]
[loading java\io\EOFException.class(java\io:EOFException.class)]
[checking net.minecraft.src.Packet]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Packet.class]
[checking net.minecraft.src.Packet21PickupSpawn]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Packet21PickupSpawn.class]
[checking net.minecraft.src.Packet23VehicleSpawn]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Packet23VehicleSpawn.class]
[checking net.minecraft.src.Packet25]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Packet25.class]
[checking net.minecraft.src.Packet28]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Packet28.class]
[checking net.minecraft.src.Packet40]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Packet40.class]
[checking net.minecraft.src.Packet20NamedEntitySpawn]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Packet20NamedEntitySpawn.class]
[checking net.minecraft.src.Packet34EntityTeleport]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Packet34EntityTeleport.class]
[checking net.minecraft.src.Packet30Entity]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Packet30Entity.class]
[checking net.minecraft.src.Packet29DestroyEntity]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Packet29DestroyEntity.class]
[checking net.minecraft.src.Packet10Flying]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Packet10Flying.class]
[checking net.minecraft.src.Packet50PreChunk]
[wrote C:\Users\Erik\Desktop\zombie-craft\bin\minecraft\net\minecraft\src\Packet50PreChunk.class]
[checking net.minecraft.src.Packet52MultiBlockChange]
